"rules","support","confidence","coverage","lift","count"
"{} => {VeilType=partial}",1,1,1,1,8124
"{Class=edible} => {VeilType=partial}",0.517971442639094,1,0.517971442639094,1,4208
"{ColorBelowRing=white} => {GillAttached=free}",0.539635647464303,1,0.539635647464303,1.02653525398029,4384
"{ColorBelowRing=white} => {VeilColor=white}",0.539635647464303,1,0.539635647464303,1.02523977788995,4384
"{ColorBelowRing=white} => {VeilType=partial}",0.539635647464303,1,0.539635647464303,1,4384
"{ColorAboveRing=white} => {GillAttached=free}",0.549483013293944,1,0.549483013293944,1.02653525398029,4464
"{ColorAboveRing=white} => {VeilColor=white}",0.549483013293944,1,0.549483013293944,1.02523977788995,4464
"{ColorAboveRing=white} => {VeilType=partial}",0.549483013293944,1,0.549483013293944,1,4464
"{StalkShape=tapering} => {RingNumber=one}",0.567208271787297,1,0.567208271787297,1.0849358974359,4608
"{StalkShape=tapering} => {GillAttached=free}",0.567208271787297,1,0.567208271787297,1.02653525398029,4608
"{StalkShape=tapering} => {VeilColor=white}",0.567208271787297,1,0.567208271787297,1.02523977788995,4608
"{StalkShape=tapering} => {VeilType=partial}",0.567208271787297,1,0.567208271787297,1,4608
"{Bruises=no} => {VeilType=partial}",0.584441161989168,1,0.584441161989168,1,4748
"{SurfaceBelowRing=smooth} => {VeilType=partial}",0.607582471688823,1,0.607582471688823,1,4936
"{SurfaceAboveRing=smooth} => {VeilType=partial}",0.637124569177745,1,0.637124569177745,1,5176
"{GillSize=broad} => {VeilType=partial}",0.690792712949286,1,0.690792712949286,1,5612
"{GillSpace=close} => {VeilType=partial}",0.838503200393895,1,0.838503200393895,1,6812
"{RingNumber=one} => {VeilType=partial}",0.921713441654357,1,0.921713441654357,1,7488
"{GillAttached=free} => {VeilType=partial}",0.974150664697193,1,0.974150664697193,1,7914
"{VeilColor=white} => {VeilType=partial}",0.975381585425899,1,0.975381585425899,1,7924
"{GillAttached=free,ColorBelowRing=white} => {VeilColor=white}",0.539635647464303,1,0.539635647464303,1.02523977788995,4384
"{ColorBelowRing=white,VeilColor=white} => {GillAttached=free}",0.539635647464303,1,0.539635647464303,1.02653525398029,4384
